c-files	sizeInCharsC	sizeInCharsAST	comma-operators	main	main-argc	bitfields	max-array-dim	max-array-len-per-dim	arrays	pointers	structs	unions	packed-struct	divs	muls	pre-incr-operator	pre-decr-operator	post-incr-operator	post-decr-operator	unary-plus-operator	funcs	longlong	float	jump	volatiles	compound-assignment	consts	inline-function	volatile-pointers	const-pointers	global-variables	builtin-func	int8_t	uint8_t	int16_t	uint16_t	int32_t	uint32_t	int64_t	uint64_t
pr15649-1.c	59	255	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pr52870.c	123	671	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0
pr36690-2.c	140	843	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pr48973-2.c	108	628	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0
pr19121.c	341	1291	3	0	0	0	1	256	2	3	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	1	0	0	1	1	0	0	0	0	0	0	0	0
pr51879-6.c	113	844	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	6	5	0	0	0	0	0	0	0	0
pr48213.c	76	488	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
pr60785.c	193	1039	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr43920-1.c	109	518	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr80098-2.c	5	58	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pr69039.c	80	393	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pr47446-2.c	501	1113	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0
pr66952.c	197	1002	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0
